Investigator,,Time (s),Electrode,Amplitude (mV)
,,00005.489840,A2_33,0.017
,,00005.539280,A2_24,0.018
,,00005.549760,A2_14,0.012
,,00005.552240,A2_33,0.013
,,00005.595520,A2_33,0.011
,,00005.666240,A2_24,0.017
,,00005.709120,A2_66,0.02
,,00005.729040,A2_33,0.014
,,00005.749200,A2_33,0.013
,,00005.796480,A2_46,0.014
,,00005.805440,A2_33,0.014
,,00005.842480,A2_24,0.022
,,00005.867280,A2_33,0.013
,,00005.975600,A2_33,0.011
,,00006.029520,A2_66,0.022
,,00006.038800,A2_33,0.014
,,00006.052000,A2_24,0.026
,,00006.102640,A2_33,0.015
,,00006.178800,A2_33,0.014
,,00006.190240,A2_33,0.015
,,00006.253120,A2_33,0.011
,,00006.385520,A2_33,0.014
,,00006.713360,A2_46,0.016
,,00006.779840,A2_24,0.017
,,00007.260960,A2_21,0.023
,,00008.640880,A3_31,0.019
,,00008.717200,A3_31,0.019
,,00009.103840,A2_46,0.017
,,00009.459520,A3_31,0.018
,,00009.495200,A3_21,0.015
,,00009.502080,A3_26,0.013
,,00009.598640,A2_21,0.023
,,00009.702000,A2_21,0.019
,,00010.328400,B2_32,0.015
,,00010.329440,B2_23,0.029
,,00010.332400,B2_32,0.015
,,00010.339600,B2_23,0.036
,,00010.349360,B2_23,0.029
,,00010.356080,B2_32,0.012
,,00010.359600,B2_32,0.015
,,00010.359680,B2_43,0.011
,,00010.369760,B2_32,0.012
,,00010.373040,B2_32,0.013
,,00010.387440,B2_32,0.014
,,00010.399280,B2_32,0.013
,,00010.400240,B2_23,0.023
,,00010.419040,B2_32,0.013
,,00010.435040,B2_32,0.014
,,00010.496000,A3_21,0.02
,,00010.542000,B2_32,0.015
,,00010.542960,B2_23,0.02
,,00010.606880,A3_21,0.014
,,00010.610800,B2_32,0.018
,,00010.661360,B2_32,0.013
,,00010.829680,A3_21,0.014
,,00011.054560,B2_32,0.013
,,00011.055600,B2_23,0.032
,,00011.261520,B2_32,0.012
,,00011.262560,B2_23,0.031
,,00011.285920,A2_22,0.021
,,00011.287200,A2_11,0.023
,,00011.301040,A2_24,0.023
,,00011.330800,A2_24,0.02
,,00011.332880,A2_46,0.02
,,00011.348960,B2_32,0.013
,,00011.350000,B2_23,0.025
,,00011.352080,A2_66,0.019
,,00011.355760,A2_46,0.017
,,00011.360800,A2_33,0.014
,,00011.379200,B2_23,0.034
,,00011.403280,A2_21,0.023
,,00011.403680,B2_23,0.028
,,00011.415840,A2_21,0.015
,,00011.422240,A2_33,0.017
