Investigator,,Time (s),Electrode,Amplitude (mV)
,,00119.776000,B2_32,0.014
,,00119.776960,B2_23,0.025
,,00119.858800,B2_32,0.013
,,00119.859760,B2_23,0.02
,,00119.962720,A3_31,0.02
,,00119.974080,B2_23,0.023
,,00120.119680,B2_23,0.028
,,00120.197520,B2_32,0.013
,,00120.617360,B2_32,0.015
,,00120.618480,B2_23,0.025
,,00120.787760,B2_32,0.012
,,00120.791360,B2_23,0.034
,,00120.836080,A2_21,0.022
,,00120.844560,B2_32,0.013
,,00120.845520,B2_23,0.025
,,00120.900080,B2_32,0.015
,,00120.901120,B2_23,0.024
,,00120.976160,B2_32,0.012
,,00121.130880,B2_32,0.017
,,00121.171360,B2_32,0.012
,,00121.278080,B2_32,0.017
,,00121.279200,B2_23,0.025
,,00122.940320,A2_21,0.027
,,00123.028400,A2_22,0.013
,,00123.028720,A2_11,0.026
,,00123.085440,A2_24,0.022
,,00123.096320,A2_24,0.029
,,00123.122240,A2_22,0.019
,,00123.147040,A2_66,0.024
,,00123.149680,A2_46,0.017
,,00123.168480,A2_33,0.016
,,00123.176480,A2_22,0.014
,,00123.205120,A2_33,0.015
,,00123.210640,A2_46,0.017
,,00123.215840,A2_22,0.014
,,00123.223360,A2_31,0.014
,,00123.224800,A2_21,0.03
,,00123.226720,A2_66,0.022
,,00123.232640,A2_33,0.021
,,00123.245200,A2_21,0.022
,,00123.255360,A2_21,0.014
,,00123.258480,A2_33,0.014
,,00123.261680,A2_33,0.015
,,00123.279360,A2_66,0.027
,,00123.280000,A2_33,0.02
,,00123.296480,A2_33,0.016
,,00123.328960,A2_33,0.016
,,00123.335600,A2_33,0.014
,,00123.346640,A2_66,0.018
,,00123.353360,A2_33,0.013
,,00123.358640,A2_24,0.022
,,00123.374240,A2_66,0.013
,,00123.391120,A2_66,0.012
,,00123.402400,A2_21,0.018
,,00123.423520,A2_33,0.014
,,00123.430960,A2_66,0.02
,,00123.448880,A2_33,0.016
,,00123.451280,A2_33,0.014
,,00123.465840,A2_66,0.019
,,00123.484720,A2_33,0.014
,,00123.490480,A2_21,0.015
,,00123.494320,A2_24,0.027
,,00123.515920,A2_28,0.011
,,00123.528160,A2_24,0.017
,,00123.542160,A2_33,0.018
,,00123.551280,A2_33,0.016
,,00123.570160,A2_33,0.012
,,00123.574400,A2_28,0.011
,,00123.597600,A3_31,0.018
,,00123.662800,A2_33,0.015
,,00123.683600,A2_33,0.015
,,00123.719760,A2_33,0.017
,,00123.728000,A2_66,0.013
,,00123.800240,A2_33,0.015
,,00123.851360,A2_22,0.012
,,00123.855440,A2_24,0.018
,,00123.890720,A2_33,0.017
,,00123.976240,A2_33,0.015
,,00124.008880,A2_33,0.015
,,00124.046560,A2_33,0.014
,,00124.108480,A2_66,0.012
,,00124.110640,A3_21,0.017
,,00124.151280,A3_21,0.018
,,00124.162880,A2_33,0.017
,,00125.256480,A3_21,0.014
,,00125.274080,A2_21,0.025
,,00126.139520,B2_32,0.013
,,00126.140640,B2_23,0.032
,,00126.150240,B2_32,0.017
,,00126.150640,B2_31,0.013
,,00126.151280,B2_23,0.027
,,00126.175360,B2_32,0.017
,,00126.175760,B2_43,0.012
,,00126.190320,B2_32,0.014
,,00126.191200,B2_23,0.029
,,00126.210240,B2_23,0.023
,,00126.224960,B2_23,0.023
,,00126.248560,B2_23,0.022
,,00126.270160,B2_23,0.027
,,00126.293760,B2_32,0.012
,,00126.403600,B2_23,0.023
,,00126.505360,B2_23,0.024
,,00126.546160,B2_23,0.021
,,00126.622560,B2_32,0.011
,,00126.666880,B2_23,0.022
,,00126.808160,A2_46,0.017
,,00126.912800,A2_46,0.016
,,00127.039840,A3_21,0.018
,,00127.115520,B2_23,0.024
,,00127.171360,B2_23,0.02
,,00127.229040,B2_32,0.015
,,00127.230080,B2_23,0.019
,,00127.268000,B2_23,0.024
,,00127.348720,A2_21,0.021
,,00127.560400,B2_23,0.025
,,00127.627040,B2_32,0.013
,,00127.628080,B2_23,0.021
,,00127.804480,B2_32,0.013
,,00127.805600,B2_23,0.02
,,00127.921040,A2_11,0.032
,,00127.921760,A2_22,0.015
,,00127.943840,A2_24,0.028
,,00127.955120,A2_24,0.017
,,00127.972320,A2_11,0.018
,,00127.981760,A2_66,0.026
,,00127.994880,B2_32,0.015
,,00127.996000,B2_23,0.023
,,00128.024880,A2_33,0.013
,,00128.029040,A2_46,0.019
,,00128.052480,A2_21,0.036
,,00128.053600,A2_24,0.023
,,00128.058240,A2_66,0.026
,,00128.071760,A2_21,0.026
,,00128.099440,A2_33,0.014
,,00128.102800,A2_66,0.015
,,00128.106640,A2_33,0.014
,,00128.120880,A2_33,0.016
,,00128.156240,A2_33,0.017
,,00128.159280,A2_33,0.016
,,00128.167840,A2_66,0.019
,,00128.199760,A2_33,0.012
,,00128.211920,A2_66,0.03
,,00128.227200,A2_28,0.011
,,00128.240960,A2_66,0.02
,,00128.243520,A2_11,0.02
,,00128.251040,B2_23,0.025
,,00128.274960,A2_33,0.017
,,00128.278800,A2_66,0.019
,,00128.308560,A2_33,0.012
,,00128.331680,A2_33,0.015
,,00128.362880,B2_32,0.014
,,00128.363920,B2_23,0.023
,,00128.366800,A2_24,0.02
,,00128.379360,A2_24,0.017
,,00128.385600,A2_33,0.013
,,00128.420400,A2_33,0.013
,,00128.458720,A2_33,0.015
,,00128.494320,A2_28,0.012
,,00128.534160,A2_33,0.016
,,00128.569840,A2_66,0.012
,,00128.572800,A2_22,0.014
,,00128.597120,A2_33,0.014
,,00128.627120,B2_32,0.014
,,00128.639440,A2_24,0.021
,,00128.674880,B2_23,0.02
,,00128.697040,A2_33,0.013
,,00128.712080,A2_24,0.019
,,00128.770000,B2_32,0.014
,,00128.770960,B2_23,0.025
,,00128.821840,A2_66,0.012
,,00128.828960,A2_33,0.013
,,00128.875760,B2_32,0.013
,,00128.985440,A2_33,0.013
,,00128.988800,A2_24,0.02
,,00129.078640,B2_32,0.013
,,00129.079840,B2_23,0.027
,,00129.144560,B2_32,0.016
,,00129.145600,B2_23,0.025
,,00129.193920,A2_33,0.016
,,00129.198480,B2_23,0.025
,,00129.298320,B2_32,0.015
,,00129.952880,B2_32,0.012
,,00130.284000,B2_32,0.012
,,00130.285120,B2_23,0.029
,,00130.318240,A3_31,0.017
,,00130.339280,A2_21,0.021
,,00130.359280,B2_32,0.013
,,00130.360320,B2_23,0.024
,,00130.428800,B2_32,0.014
,,00130.429760,B2_23,0.026
,,00131.384960,A3_31,0.018
,,00131.872000,A2_22,0.014
,,00131.955680,A2_24,0.027
,,00131.981200,A2_24,0.016
,,00132.004480,A2_46,0.012
,,00132.014880,B2_32,0.015
,,00132.023680,A2_66,0.022
,,00132.025680,B2_23,0.017
,,00132.026640,B2_43,0.01
,,00132.056160,A2_21,0.02
,,00132.058080,B2_23,0.026
,,00132.074720,B2_23,0.025
,,00132.078080,A2_33,0.015
,,00132.095440,B2_23,0.028
,,00132.096240,A2_21,0.027
,,00132.103440,A2_24,0.022
,,00132.118400,A2_33,0.016
,,00132.119200,A2_21,0.024
,,00132.127120,A2_66,0.025
,,00132.133520,A2_32,0.018
,,00132.134720,A2_21,0.025
,,00132.138480,A2_33,0.013
,,00132.145520,A2_33,0.016
,,00132.167440,A2_24,0.019
,,00132.171280,A2_33,0.026
,,00132.174400,A2_21,0.011
,,00132.189840,A2_24,0.02
,,00132.198960,A2_66,0.016
,,00132.219840,A2_33,0.015
,,00132.233600,A2_32,0.014
,,00132.247520,B2_43,0.011
,,00132.257680,A2_33,0.014
,,00132.272400,A2_66,0.018
,,00132.272560,A2_24,0.018
,,00132.300240,A2_21,0.017
,,00132.302960,A2_22,0.016
,,00132.304400,A3_31,0.018
,,00132.305600,A2_21,0.017
,,00132.325920,A2_33,0.015
,,00132.327040,A2_66,0.014
,,00132.337840,A2_22,0.013
,,00132.344160,B2_32,0.012
,,00132.345120,B2_23,0.02
,,00132.348800,A2_22,0.013
,,00132.354000,A2_66,0.018
,,00132.355040,A2_24,0.015
,,00132.362320,A2_46,0.017
,,00132.364720,A2_22,0.01
,,00132.374080,A2_21,0.013
,,00132.394000,A2_24,0.024
,,00132.396160,B2_32,0.013
,,00132.426400,A2_33,0.015
,,00132.429760,A2_33,0.018
,,00132.443840,B2_23,0.022
,,00132.461120,A2_33,0.017
,,00132.485600,B2_43,0.012
,,00132.490000,B2_23,0.021
,,00132.495040,A2_33,0.015
,,00132.527520,A3_31,0.019
,,00132.566560,B2_23,0.024
,,00132.591440,A2_66,0.012
,,00132.629040,B2_23,0.023
,,00132.671520,A2_33,0.016
,,00132.679680,A2_33,0.012
,,00132.696720,A2_24,0.016
,,00132.731520,A2_24,0.021
,,00132.736720,B2_32,0.012
,,00132.737360,A2_33,0.015
,,00132.737760,B2_23,0.024
,,00132.760000,A2_28,0.01
,,00132.795040,A2_33,0.019
,,00132.813840,B2_23,0.026
,,00132.825840,A2_33,0.013
,,00132.882000,B2_23,0.02
,,00132.902240,A2_66,0.019
,,00133.033840,A2_33,0.014
,,00133.054480,A2_24,0.019
,,00133.070000,A2_24,0.02
,,00133.194720,A2_33,0.013
,,00134.092480,A3_31,0.022
,,00134.425120,A2_21,0.013
,,00135.535440,A3_31,0.015
,,00136.233440,A2_21,0.025
,,00136.463680,A3_21,0.015
,,00136.608880,A3_31,0.014
,,00137.175600,A2_22,0.016
,,00137.176640,A2_11,0.023
,,00137.203120,A2_24,0.017
,,00137.229120,A2_24,0.032
,,00137.249360,A2_24,0.018
,,00137.256640,A2_24,0.014
,,00137.260160,A2_46,0.021
,,00137.260400,A2_22,0.018
,,00137.283600,A2_66,0.02
,,00137.340000,A2_46,0.016
,,00137.356160,A2_24,0.02
,,00137.359040,A2_21,0.025
,,00137.362640,A2_42,0.014
,,00137.371040,A2_66,0.023
,,00137.371760,A2_33,0.016
,,00137.386400,A2_21,0.027
,,00137.406720,A2_21,0.014
,,00137.408320,A2_33,0.016
,,00137.416320,A2_66,0.025
,,00137.416640,A2_21,0.015
,,00137.434480,A2_33,0.017
,,00137.462480,A2_43,0.014
,,00137.476720,A2_66,0.014
,,00137.480480,A2_33,0.016
,,00137.490800,A3_26,0.012
,,00137.504560,A2_33,0.017
,,00137.508240,A2_21,0.018
,,00137.519440,A2_21,0.019
,,00137.526480,A2_66,0.014
,,00137.533520,A2_33,0.018
,,00137.535600,A2_21,0.026
,,00137.554800,A2_66,0.016
,,00137.562400,A2_46,0.016
,,00137.589360,A2_66,0.012
,,00137.616560,A2_33,0.017
,,00137.622320,A2_28,0.011
,,00137.622560,A2_24,0.021
,,00137.640800,A2_24,0.026
,,00137.670880,A2_33,0.021
,,00137.781200,A3_26,0.016
,,00137.789200,A2_24,0.02
,,00137.797920,A2_66,0.018
,,00137.820480,A2_33,0.016
,,00137.832560,A2_24,0.016
,,00137.880640,A2_33,0.013
,,00137.923440,A2_33,0.015
,,00138.001760,A2_33,0.014
,,00138.016400,A2_21,0.016
,,00138.033280,A2_33,0.018
,,00138.106800,A2_66,0.016
,,00138.343280,A2_33,0.014
,,00138.579200,A3_26,0.017
,,00138.680400,A3_31,0.017
,,00138.727600,A3_72,0.017
,,00138.909680,A2_24,0.018
,,00139.451120,A3_26,0.014
,,00139.590800,A2_21,0.025
,,00141.252480,A2_22,0.02
,,00141.253520,A2_11,0.022
,,00141.308880,A2_21,0.028
,,00141.315360,A2_24,0.023
,,00141.330960,A2_24,0.019
,,00141.359040,A2_56,0.013
,,00141.386240,A2_21,0.015
,,00141.409360,A2_66,0.024
,,00141.443680,A2_33,0.016
,,00141.465600,A2_33,0.014
,,00141.475760,A2_46,0.014
,,00141.501040,A2_24,0.019
,,00141.503520,A2_33,0.015
,,00141.514800,A2_66,0.022
,,00141.518240,A2_21,0.029
,,00141.541040,A2_24,0.033
,,00141.543440,A2_21,0.025
,,00141.553600,A2_24,0.023
,,00141.559760,A2_22,0.017
,,00141.586240,A2_66,0.022
,,00141.596880,A2_33,0.012
,,00141.600720,A2_33,0.016
,,00141.616720,A2_46,0.017
,,00141.632240,A2_22,0.018
,,00141.651760,A2_24,0.017
,,00141.675760,A2_66,0.013
,,00141.676080,A2_11,0.024
,,00141.689840,A3_31,0.021
,,00141.695520,A2_24,0.017
,,00141.705520,A2_33,0.014
,,00141.728320,A2_66,0.013
,,00141.734800,A2_33,0.014
,,00141.737920,A2_22,0.012
,,00141.746720,A2_24,0.018
,,00141.764640,A2_22,0.013
,,00141.797600,A2_33,0.012
,,00141.810000,A2_66,0.013
,,00141.814800,A2_21,0.012
,,00141.843280,A2_28,0.013
,,00141.937520,A2_33,0.014
,,00141.958320,A2_24,0.017
,,00142.000320,A2_33,0.014
,,00142.023600,A2_66,0.021
,,00142.025680,A2_33,0.012
,,00142.069360,A2_33,0.015
,,00142.090000,A2_24,0.025
,,00142.153120,A2_33,0.012
,,00142.280480,A2_66,0.02
,,00142.370080,A2_28,0.011
,,00142.383360,A3_31,0.022
,,00142.454480,A2_33,0.013
,,00142.487680,A2_33,0.014
,,00143.001920,A2_24,0.022
,,00143.402000,A2_21,0.021
,,00144.023520,A3_31,0.019
,,00144.667600,A2_46,0.018
,,00145.123360,A2_21,0.025
,,00145.341600,A2_22,0.022
,,00145.378960,A3_26,0.02
,,00145.381840,A3_21,0.014
,,00145.381920,A3_31,0.018
,,00145.403280,A3_26,0.016
,,00145.443440,A2_24,0.018
,,00145.454960,A2_24,0.016
,,00145.509680,A2_66,0.025
,,00145.547920,A2_24,0.02
,,00145.586640,A2_21,0.03
,,00145.593840,A2_22,0.012
,,00145.602480,A2_33,0.018
,,00145.606560,A2_66,0.024
,,00145.607040,A2_21,0.026
,,00145.609600,A2_31,0.011
,,00145.609840,A2_24,0.025
,,00145.617520,A2_24,0.018
,,00145.624720,A2_24,0.015
,,00145.655600,A2_33,0.015
,,00145.660640,A2_33,0.017
,,00145.666160,A2_11,0.025
,,00145.669120,A2_66,0.02
,,00145.689200,A2_32,0.016
,,00145.700960,A2_33,0.014
,,00145.722320,A2_33,0.018
,,00145.746320,A2_21,0.016
,,00145.747920,A2_66,0.025
,,00145.782560,A2_21,0.016
,,00145.802400,A2_66,0.029
,,00145.806080,A2_33,0.015
,,00145.812080,A2_46,0.014
,,00145.812320,A2_24,0.022
,,00145.843520,A2_66,0.02
,,00145.857600,A2_33,0.014
,,00145.881440,A2_28,0.012
,,00145.894080,A2_33,0.014
,,00145.897680,A2_33,0.013
,,00145.960720,A2_33,0.015
,,00145.971440,A2_33,0.016
,,00146.066720,A2_33,0.013
,,00146.085200,A2_24,0.018
,,00146.097520,A2_66,0.013
,,00146.133600,A2_24,0.021
,,00146.173280,A2_33,0.015
,,00146.186320,A2_33,0.014
,,00146.238800,A2_46,0.015
,,00146.318880,A2_33,0.013
,,00146.373280,A2_33,0.015
,,00146.433600,A2_66,0.021
,,00146.463360,A2_24,0.02
,,00146.476960,A2_24,0.024
,,00146.499440,A2_24,0.015
,,00146.674000,A3_31,0.015
,,00146.674400,A2_33,0.015
,,00146.928880,A3_31,0.019
,,00147.744720,A3_31,0.019
,,00147.795440,B2_32,0.022
,,00147.796160,B2_23,0.031
,,00147.810320,B2_32,0.014
,,00147.832160,B2_23,0.026
,,00147.845920,B2_32,0.014
,,00147.846960,B2_23,0.02
,,00147.875520,B2_23,0.028
,,00147.892080,B2_32,0.015
,,00147.893040,B2_23,0.021
,,00147.950000,B2_23,0.027
,,00147.975520,B2_23,0.02
,,00148.001440,B2_23,0.023
,,00148.253760,B2_32,0.015
,,00148.254720,B2_23,0.028
,,00148.707920,A3_31,0.013
,,00149.889280,A2_21,0.022
,,00149.964320,A2_21,0.015
,,00150.778720,A3_21,0.015
,,00150.792480,A3_31,0.015
,,00150.809520,A3_21,0.016
,,00151.261120,A2_46,0.022
,,00151.715920,A3_21,0.016
,,00151.835520,A2_22,0.02
,,00151.836640,A2_11,0.023
,,00151.861840,A2_24,0.022
,,00151.873680,A2_24,0.02
,,00151.884960,A2_24,0.021
,,00151.910160,A2_66,0.026
,,00151.968480,A2_33,0.016
,,00151.973600,A2_24,0.021
,,00151.974400,A2_33,0.012
,,00151.988640,A2_28,0.011
,,00151.994400,A2_66,0.02
,,00151.997840,A2_21,0.031
,,00151.997920,A2_33,0.015
,,00152.010640,A2_24,0.02
,,00152.018560,A2_21,0.026
,,00152.020560,A2_33,0.013
,,00152.032880,A2_66,0.02
,,00152.042400,A2_33,0.014
,,00152.062320,A2_22,0.015
,,00152.065360,A2_33,0.021
,,00152.067680,A2_24,0.019
,,00152.080000,A2_28,0.01
,,00152.086640,A2_22,0.015
,,00152.091520,A2_33,0.017
,,00152.119280,A2_56,0.013
,,00152.123600,A2_22,0.016
,,00152.131280,A2_33,0.014
,,00152.143920,A2_24,0.024
,,00152.150240,A2_66,0.023
,,00152.157440,A2_21,0.02
,,00152.162800,A2_33,0.017
,,00152.174000,A2_28,0.011
,,00152.176560,A2_33,0.019
,,00152.176800,A2_24,0.017
,,00152.181920,A2_66,0.011
,,00152.183360,A2_22,0.017
,,00152.213920,A2_66,0.021
,,00152.230160,A2_22,0.013
,,00152.233120,A2_33,0.017
,,00152.264480,A2_33,0.014
,,00152.311360,A2_33,0.015
,,00152.317520,A2_66,0.013
,,00152.355600,A2_33,0.015
,,00152.366480,A2_33,0.014
,,00152.441600,A2_24,0.018
,,00152.474240,A2_33,0.013
,,00152.481200,A2_33,0.022
,,00152.528880,A2_33,0.012
,,00152.539440,A2_33,0.017
,,00152.614000,A2_24,0.02
,,00152.753680,A2_46,0.016
,,00152.775920,A2_42,0.012
,,00152.874560,A2_24,0.018
,,00153.939760,A3_31,0.014
,,00153.940480,A2_21,0.025
,,00154.036560,A3_21,0.01
,,00154.174720,A1_36,0.016
,,00154.328480,A3_31,0.021
,,00155.375600,A3_31,0.016
,,00155.376880,A3_21,0.012
,,00155.722320,A2_21,0.023
,,00155.784880,A2_46,0.018
,,00155.785680,A2_21,0.021
,,00156.651360,A2_22,0.019
,,00156.652480,A2_11,0.023
,,00156.691040,A2_24,0.02
,,00156.719360,A2_22,0.019
,,00156.734400,A2_66,0.022
,,00156.735040,A2_56,0.013
,,00156.767760,A3_21,0.017
,,00156.800560,A2_21,0.024
,,00156.807600,A2_24,0.022
,,00156.808880,A2_66,0.024
,,00156.829200,A2_33,0.015
,,00156.835760,A2_33,0.013
,,00156.837440,A2_21,0.025
,,00156.846800,A2_21,0.022
,,00156.858000,A2_66,0.021
,,00156.870880,A2_33,0.011
,,00156.887440,A2_33,0.016
,,00156.897280,A2_24,0.021
,,00156.899360,A2_33,0.016
,,00156.905920,A2_33,0.012
,,00156.917200,A2_24,0.021
,,00156.917840,A2_66,0.02
,,00156.951360,A2_22,0.016
,,00156.954720,A2_22,0.013
,,00156.964880,A2_33,0.014
,,00156.966560,A2_21,0.02
,,00156.976400,A2_21,0.015
,,00156.977120,A2_33,0.017
,,00156.977920,A2_66,0.023
,,00157.011440,A2_66,0.01
,,00157.043840,A2_66,0.014
,,00157.054560,A2_33,0.015
,,00157.066640,A2_22,0.013
,,00157.067120,A2_24,0.018
,,00157.080560,A2_33,0.035
,,00157.083600,A2_32,0.016
,,00157.103760,A2_33,0.017
,,00157.106160,A2_33,0.016
,,00157.126640,A2_33,0.01
,,00157.141360,A2_33,0.016
,,00157.165440,A2_42,0.012
,,00157.191280,A2_66,0.019
,,00157.244560,A2_42,0.015
,,00157.248000,A2_23,0.012
,,00157.265120,A2_33,0.012
,,00157.323200,A2_33,0.018
,,00157.328320,A2_24,0.018
,,00157.403600,A2_33,0.014
,,00157.416960,A2_66,0.016
,,00157.546880,A2_33,0.015
,,00157.764000,A2_33,0.016
,,00157.813680,A2_33,0.012
,,00157.831680,A2_33,0.017
,,00157.923680,A2_24,0.02
,,00157.933520,A2_33,0.014
,,00157.936560,A2_24,0.02
,,00158.863600,A2_21,0.024
,,00159.277440,A3_31,0.018
,,00160.443040,A2_46,0.017
,,00160.808800,A2_21,0.023
,,00161.017520,A1_36,0.017
,,00161.030640,A2_21,0.013
,,00161.263440,A3_31,0.022
,,00161.445440,B2_32,0.03
,,00161.446000,B2_43,0.011
,,00161.446800,B2_23,0.028
,,00161.455680,B2_32,0.026
,,00161.495680,B2_32,0.013
,,00161.496640,B2_23,0.027
,,00161.552080,B2_32,0.015
,,00161.568080,B2_32,0.011
,,00161.581360,A2_22,0.017
,,00161.581600,A2_11,0.027
,,00161.583040,B2_23,0.021
,,00161.600800,B2_23,0.025
,,00161.626560,A2_24,0.029
,,00161.630000,B2_32,0.012
,,00161.630960,B2_23,0.019
,,00161.637280,A2_24,0.018
,,00161.648400,B2_32,0.016
,,00161.649040,A2_66,0.024
,,00161.666400,A2_22,0.015
,,00161.666560,A2_11,0.021
,,00161.670240,B2_23,0.02
,,00161.670720,A2_33,0.016
,,00161.679280,A2_46,0.017
,,00161.686240,A2_32,0.016
,,00161.691120,A2_33,0.015
,,00161.692560,B2_32,0.013
,,00161.693520,B2_23,0.018
,,00161.702800,A2_14,0.013
,,00161.707360,A2_28,0.011
,,00161.710080,A2_33,0.013
,,00161.712320,B2_23,0.025
,,00161.718400,A2_66,0.022
,,00161.718720,A2_21,0.029
,,00161.721600,A2_33,0.016
,,00161.752880,A2_21,0.026
,,00161.757760,B2_23,0.022
,,00161.760880,A2_66,0.021
,,00161.762800,A2_33,0.016
,,00161.763200,A2_21,0.019
,,00161.795280,A2_33,0.015
,,00161.804000,A2_28,0.01
,,00161.810880,A2_22,0.013
,,00161.818080,A2_66,0.021
,,00161.842640,A2_33,0.015
,,00161.843840,B2_32,0.013
,,00161.845600,A2_24,0.026
,,00161.852720,A2_22,0.011
,,00161.873360,A2_33,0.021
,,00161.874800,A2_21,0.021
,,00161.878320,A2_66,0.024
,,00161.878880,A2_33,0.014
,,00161.890960,A2_21,0.021
,,00161.912640,A2_66,0.019
,,00161.957120,A2_21,0.017
,,00161.973440,B2_32,0.015
,,00161.974480,B2_23,0.023
,,00161.991440,A2_66,0.011
,,00161.993760,A2_33,0.017
,,00162.045520,A2_33,0.012
,,00162.060160,B2_23,0.022
,,00162.086560,A2_24,0.018
,,00162.087200,A2_33,0.012
,,00162.118320,A2_33,0.012
,,00162.136000,A2_33,0.015
,,00162.143360,A2_42,0.012
,,00162.160880,A2_33,0.014
,,00162.165360,A2_33,0.016
,,00162.180400,B2_32,0.012
,,00162.181360,B2_23,0.02
,,00162.202400,A2_33,0.014
,,00162.214240,B2_23,0.021
,,00162.242000,A2_33,0.015
,,00162.257920,A2_22,0.012
,,00162.259120,A2_33,0.014
,,00162.260960,B2_32,0.015
,,00162.261200,A2_66,0.019
,,00162.283280,B2_32,0.024
,,00162.382640,B2_23,0.022
,,00162.407040,B2_23,0.023
,,00162.409120,A2_33,0.015
,,00162.431200,A2_33,0.017
,,00162.436240,B2_23,0.023
,,00162.463600,B2_32,0.014
,,00162.487520,B2_23,0.027
,,00162.502880,B2_23,0.021
,,00162.557840,A2_33,0.014
,,00162.575440,B2_23,0.021
,,00162.683280,B2_32,0.013
,,00162.684320,B2_23,0.023
,,00162.737360,B2_23,0.027
,,00162.741440,A3_31,0.019
,,00162.791200,B2_23,0.026
,,00162.874640,B2_23,0.033
,,00162.906720,B2_23,0.021
,,00162.943840,B2_23,0.021
,,00162.979440,A2_24,0.019
,,00162.996960,B2_32,0.015
,,00163.181840,A3_31,0.017
,,00163.216480,B2_23,0.018
,,00163.287760,B2_23,0.025
,,00163.408320,B2_32,0.013
,,00163.409360,B2_23,0.026
,,00163.444480,B2_23,0.025
,,00163.528080,B2_23,0.023
,,00163.626240,B2_23,0.021
,,00163.769760,A2_21,0.025
,,00163.800240,B2_23,0.026
,,00163.875760,B2_23,0.028
,,00163.976160,B2_23,0.024
,,00164.334160,A3_31,0.021
,,00164.398320,A1_36,0.022
,,00164.693120,B2_32,0.015
,,00164.694320,B2_23,0.026
,,00164.929680,A2_46,0.014
,,00165.121440,B2_32,0.014
,,00165.122640,B2_23,0.023
,,00165.193760,A3_31,0.017
,,00165.214720,B2_23,0.023
,,00165.379440,A2_21,0.019
,,00165.555520,A2_22,0.017
,,00165.557120,A2_11,0.018
,,00165.768480,A3_31,0.021
,,00166.068080,B2_32,0.014
,,00166.069200,B2_23,0.025
,,00166.162880,A3_31,0.019
,,00166.164480,B2_32,0.014
,,00166.165520,B2_23,0.031
,,00166.792960,A2_22,0.019
,,00166.794160,A2_11,0.02
,,00166.812560,A2_24,0.022
,,00166.824320,A2_24,0.019
,,00166.834080,A2_23,0.014
,,00166.853200,A2_66,0.022
,,00166.878160,A2_22,0.016
,,00166.897280,A2_33,0.015
,,00166.910240,A2_32,0.019
,,00166.913040,A2_22,0.012
,,00166.913120,A2_11,0.018
,,00166.931200,A2_66,0.026
,,00166.933520,A2_21,0.025
,,00166.950960,A2_33,0.017
,,00166.951040,A1_36,0.017
,,00166.951840,B2_32,0.013
,,00166.952400,A2_22,0.01
,,00166.956080,A2_28,0.01
,,00166.956400,A2_21,0.024
,,00166.964240,A2_22,0.013
,,00166.970320,A2_56,0.017
,,00166.970560,A2_66,0.021
,,00166.972320,A2_33,0.018
,,00166.974160,A2_21,0.019
,,00166.975280,A2_46,0.015
,,00166.977520,A2_42,0.013
,,00166.989120,A2_33,0.016
,,00167.006560,A2_33,0.018
,,00167.011040,A2_33,0.013
,,00167.018320,A2_33,0.015
,,00167.020160,A2_21,0.016
,,00167.021200,A2_33,0.02
,,00167.029440,A2_66,0.017
,,00167.032640,A2_33,0.02
,,00167.033280,A2_24,0.019
,,00167.044000,A2_24,0.024
,,00167.067760,A2_21,0.018
,,00167.079360,A2_33,0.013
,,00167.081040,A2_66,0.02
,,00167.106400,A2_33,0.016
,,00167.112160,A2_66,0.018
,,00167.139040,A2_33,0.015
,,00167.147920,A2_66,0.016
,,00167.153680,A2_46,0.017
,,00167.162240,A2_33,0.015
,,00167.201920,A2_33,0.017
,,00167.216560,A2_24,0.022
,,00167.229920,A2_24,0.021
,,00167.247360,A2_33,0.014
,,00167.270160,A2_33,0.013
,,00167.275040,A2_33,0.018
,,00167.304000,A2_33,0.015
,,00167.327680,A2_66,0.011
,,00167.342560,A2_33,0.015
,,00167.395920,A2_28,0.01
,,00167.496560,A2_33,0.016
,,00167.515280,A2_24,0.028
,,00167.543120,A2_46,0.014
,,00167.645840,A2_33,0.012
,,00167.714880,A2_33,0.012
,,00167.778960,A2_33,0.011
,,00167.787600,A2_33,0.013
,,00167.858640,A2_66,0.014
,,00167.916320,A3_21,0.016
,,00167.962240,A2_24,0.019
,,00167.965600,A3_31,0.025
,,00167.967440,A3_21,0.017
,,00167.978800,A3_72,0.017
,,00168.065760,A3_31,0.014
,,00168.115920,A3_21,0.012
,,00168.644640,A3_21,0.017
,,00168.948160,A2_21,0.027
,,00170.174320,A2_24,0.019
,,00170.436480,A2_22,0.019
,,00170.436720,A2_11,0.029
,,00170.474880,A2_21,0.022
,,00170.516880,A2_24,0.024
,,00170.522960,A2_22,0.017
,,00170.528640,A2_24,0.021
,,00170.573040,A2_66,0.023
,,00170.611040,A2_33,0.013
,,00170.674960,A2_66,0.024
,,00170.677360,A2_56,0.012
,,00170.682800,A2_21,0.016
,,00170.685760,A2_33,0.015
,,00170.705840,A2_21,0.013
,,00170.716000,A2_24,0.024
,,00170.729920,A2_33,0.016
,,00170.730320,A2_28,0.01
,,00170.732640,A2_33,0.017
,,00170.744800,A2_66,0.022
,,00170.816720,A3_31,0.018
,,00170.817840,A2_66,0.022
,,00170.832160,A2_33,0.015
,,00170.846320,A2_33,0.019
,,00170.853760,A2_33,0.016
,,00170.861840,A2_24,0.021
,,00170.881440,A2_28,0.01
,,00170.884640,A2_66,0.023
,,00170.912160,A2_22,0.011
,,00170.915440,A2_22,0.016
,,00170.921440,A2_66,0.016
